NAME,MAX_HP,ATTACK,DEFENCE,SCORE,LOCATION(S),TATTLE
Tech Cursya,1,1,0,400,"Gap of Crag (5-2), Castle Bleck Entry (8-1), Castle Bleck Foyer (8-2), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 54 and 73)","That's a Tech Cursya. It is a spiteful monster that curses everything it touches. Max HP is 1 and Attack is 1. It can prevent you from using skills for a while... But it can't curse you if you don't touch it, so approach with caution..."
Ghoul Shroom,10,5,0,1000,"Gap of Crag (5-2), Overthere Stair (7-3), The Overthere (7-4), Castle Bleck Interior (8-3)","That's a Ghoul Shroom. It is an evil shroom monster that comes out of ? Blocks... Max HP is 10. Attack is 5. It can move very fast in a limited area... Its HP and Attack are high, so be sure to look before you leap..."
Amazy Dayzee,30,10,0,3000,"Gap of Crag (5-2), Castle Bleck Foyer (8-2), Flipside Pit of 100 Trials (Room 58)","That's an Amazy Dayzee. They're very rare and elusive creatures... Max HP is 30 and Attack is 10. They are rarely seen. When they are spotted, they tend to run away quickly... Their songs are also very potent. Many consider them very challenging to hunt..."
Spike Top,1,2,3,300,"Floro Caverns (5-3 and 5-4), Flipside Pit of 100 Trials (Room 37)","This is a Spike Top. It's a Buzzy Beetle with...well, a spike on top of its shell... Max HP is 1, Attack is 2, and Defense is 3. Even flames won't scorch its hard shell... On top of that, it has a spike. What can we do about this prickly foe...? Throw something at it or use an item... That spike can cause a painful poke... I suggest you just leave it be..."
Spania,6,1,0,400,"Floro Caverns (5-3 and 5-4), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 53 and 84)","That odd, horned creature is called a Spania. Its Max HP is 6 and Attack is 1. Those horns will ruin your day if you try to stomp it... If it sees you, it'll come at you, even if you have flipped to another dimension... It might be better to avoid this unpleasant beast altogether..."
Floro Cragnien,10,1,0,−100,Floro Caverns (5-3 and 5-4),"That Cragnon has been brainwashed with a strange sprout by the Floro Sapiens... Max HP is 10 and Attack is 1. They will attack any intruder... They aren't so tough, but if you stomp one, your                                  Score will go down... They are usually found in the mine, looking for gems for King Croacus..."
Heavy Cursya,1,1,0,400,"Floro Caverns (5-4), Castle Bleck Entry (8-1), Castle Bleck Foyer (8-2), Castle Bleck Interior (8-3), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 61 and 73)",That's a Heavy Cursya. It is a spiteful monster that curses everything it touches. Max HP is 1 and Attack is 1. It makes you heavy and hinders your jumping... A life without jumping... It's too terrible to contemplate... Unless you're a butterfly...
Reversya Cursya,1,1,0,400,"Floro Caverns (5-4), Overthere Stair (7-3), Castle Bleck Foyer (8-2), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 73 and 87)","It's a Reversya Cursya. It is a spiteful monster that curses everything it touches. Max HP is 1 and Attack is 1. It can make you move entirely in opposites... If you get cursed, it's best to relax. You will learn to adjust until the effect wears off..."
O'Chunks (3),60,3,0,4000,Floro Caverns (5-4),That’s O’Chunks. Dimentio has veggified him. He has no will of his own... Max HP is 60 and Attack is 3. He seems faster and stronger than before... But he will get dizzy after being thrown. That’s your only chance... Don’t let his quick movements confuse you. Just keep a steady head...
King Croacus,50,2,0,5000,Floro Caverns (5-4),"That's King Croacus. He leads the Floro Sapiens, and loves beautiful things... Max HP is 50. Attack is 2. He attacks with his head, like other Floro Sapiens... I don't think you can damage him when his face is closed off like that... Using Thoreau to grab stuff, then jumping into him works pretty well, though..."
Sammer Guy,10-80,1-8,0-3,500-5000,"Sammer's Kingdom (6-1), Sammer's Early Duels (6-2), Sammer's Proving Grounds (6-3), Sammer's Endgame (6-4)","That is a Sammer Guy. This martial artist serves King Sammer... Max HP is 1-99. Attack is 1-10. Defense is 0-4. Basic attack patterns are similar, but every Sammer Guy is different... There are 100 of them in all. You will have to adapt to fighting each one... They always fight with great honor..."
Ninjoe,6,2,0,500,"Sammer's Kingdom (6-1) (Sammer Guys 4, 8, 11, 20, and 25), Sammer's Early Duels (6-2) (Sammer Guys 32, 43, 46, and 48), Sammer's Proving Grounds (6-3) (Sammer Guy 72), Sammer's Endgame (6-4) (Sammer Guy 85), Flipside Pit of 100 Trials (Rooms 36, 66, 88 and 92)","That's a Ninjoe. These devious ninjas support Sammer Guys from the shadows... Max HP is 6 and Attack is 2. They hop around and throw ninja stars at you (the ninja stars can be destroyed by using Boomer or Cudge, or they will eventually disappear after sticking to a surface for some time). They are said to sell their ninja skills to the highest bidder... And they have long been in the service of King Sammer."
Big Sammer Guy,30-99,3-10,0-4,500-5000,"Sammer's Kingdom (6-1), Sammer's Early Duels (6-2), Sammer's Proving Grounds (6-3), Sammer's Endgame (6-4)","That is a Sammer Guy. This martial artist serves King Sammer... Max HP is 1-99. Attack is 1-10. Defense is 0-4. Basic attack patterns are similar, but every Sammer Guy is different... There are 100 of them in all. You will have to adapt to fighting each one... They always fight with great honor..."
Small Sammer Guy,1,2-5,0,500-5000,"Sammer's Kingdom (6-1), Sammer's Early Duels (6-2), Sammer's Proving Grounds (6-3), Sammer's Endgame (6-4)","That is a Sammer Guy. This martial artist serves King Sammer... Max HP is 1-99. Attack is 1-10. Defense is 0-4. Basic attack patterns are similar, but every Sammer Guy is different... There are 100 of them in all. You will have to adapt to fighting each one... They always fight with great honor..."
Mimi (2),25,2,0,4000,Sammer's Early Duels (6-2),"That’s Mimi, Count Bleck’s shape-shifting minion... Max HP is 25 and Attack is 2. She has many creative Rubee attacks... But it’s easy to guard against them with Peach’s parasol... Then wait for an opening! Remember, you can use Thoreau to toss her precious Rubees back at her... If you hit her enough, she’ll flip, so flip after her..."
Brobot L-type,64,5,4 (8 against fire),6000,World of Nothing (6-1),"That's Brobot L-type. Mr. L pulled out all the stops to make this one... Max HP is 64. Attack is 5. Defense is 4. Defense against fire is 8. Most of its moves are the same, but it can now use its hands or tackle you... He seems to be weak to explosions, so try using Boomer on his feet... You remember that after setting a bomb, you can use  again to set it off, right?"
Dry Bones,10,2,0,700,"The Underwhere (7-1), Underwhere Road (7-2), Flipside Pit of 100 Trials (Room 54)","That's a Dry Bones. At one time, it was a Koopa, but now... Max HP is 10. Attack is 2. It will keep getting up no matter how many times you stomp it... Because it's already dead, you may have to use fire to stop it for good..."
Lava Bubble,1,4,0,800,The Underwhere (7-1),"It's a Lava Bubble. This fiery magma boy loves the heat... Max HP is 1 and Attack is 4. Obviously, it's quite immune to fire... It pops out from below when people approach, so take care when jumping over lava..."
Underhand,N/A,1,N/A,N/A,"The Underwhere (7-1), Underwhere Road (7-2)","That’s an Underhand. These creepy hands try to drag the dead deeper into oblivion... If they met a living person, they would certainly try to drag him or her down too... You can’t defeat them, so it’s best to run..."
Frost Piranha,7,3,0,700,The Underwhere (7-1),"This frigid Frost Piranha has subzero breath... Max HP is 7 and Attack is 3. If you get breathed on, you'll be frozen for a bit... Originally hailing from a cold climate, this plant struck out in search of new prey... This plant loves ice cream, but hates hot-fudge sundaes."
Gigabite,6,2,?? (Reduces all damage to 1),1200,"The Underwhere (7-1), The Overthere (7-4)",That's a Gigabite. It's an evil skull that soars through the skies... Max HP is 6 and Attack is 2. It will only take 1 damage per attack... Gigabites are even more annoying than Megabites... No one knows where they come from or where they go...
Dark Boo,13,2,0,700,"Underwhere Road (7-2), Flipside Pit of 100 Trials (Rooms 56, 62 and 85)","That's a Dark Boo. It likes the dark even more than other Boos... Max HP 13 and Attack is 2. When it sees someone, it gets in their face... I wonder...do you think it looks forward all day to startling people?"
Bowser (2),80,8,2,4000,Underwhere Road (7-2),"That's Bowser, the king of the Koopas and archenemy of Mario... Max HP is 80. Attack is 8. Defense is 2. He has spikes, so you can't stomp him. As you'd imagine, his fiery breath and stomp attack do a lot of damage. You'll need to use Pixls and items to win this battle..."
Dull Bones,15,4,0,800,"Underwhere Road (7-2), Castle Bleck Entry (8-1), Flipside Pit of 100 Trials (Room 62)","This is a Dull Bones. It's a lifeless Koopa that enjoys throwing bones... Max HP is 15 and Attack is 4. No matter how many times you stomp it, it will keep getting back up... I have heard that they are not too fond of fire, though..."
The Underchomp,48 (16 each),3,4,6000,Underwhere Road (7-2),"That's the Underchomp...It's a three-headed Chomp that guards The Underwhere...Max HP is 16, Attack is 3, Defense is 4. It's immune to flames...Its Defense is high, so try using Cudge, Boomer, Thudley, or any special attack. The three Dorguys enjoy springing this fearsome Chomp on unsuspecting travelers..."
Parabuzzy,1,1,3,200,"Overthere Stair (7-3), Castle Bleck Inner Sanctum (8-4)","This is a Parabuzzy. It’s a Buzzy Beetle with wings… Max HP is 1, Attack is 1, and Defense is 3. Even flames won’t scorch its hard shell… If you stomp on it, you’ll remove those wings… But still, those little limbs that hang down from its shell… They’re… …a little cute."
Spiky Parabuzzy,1,2,3,300,"Overthere Stair (7-3), Castle Bleck Foyer (8-2), Castle Bleck Inner Sanctum (8-4)","That's a Spiky Parabuzzy. As you can see, this Buzzy has wings and a spike... Max HP is 1, Attack is 2, and Defense is 3. Even flames won't scorch its hard shell... With the spike and wings and hard shell, I just don't know how to get rid of it... It's a pain to deal with, but still quite adorable..."
Ruff Puff,15,4,0,600,"Overthere Stair (7-3), Flipside Pit of 100 Trials (Room 75)","That's a Ruff Puff. It floats in the sky, like a little grumpy thundercloud... Max HP is 15 and Attack is 4. It will shock you if you get too close... You'd better keep your distance until you see an opening to attack... Do you think it's related to the cloud Lakitu rides around on?"
Skellobit,10,2,2,600,"Overthere Stair (7-3), The Overthere (7-4), Castle Bleck Interior (8-3), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 66, 79 (flipping), 93 and 95)","That's a Skellobit. It's a foul monster that's made of bones... Max HP is 10, Attack is 2, Defense is 2. They poke at people with sharp spears... Don't land on the spear when it's pointed up... They were evil in life, so now they must dwell in dark depths of The Underwhere..."
Spiky Skellobit,10,2,2,700,"Overthere Stair (7-3), The Overthere (7-4), Castle Bleck Interior (8-3), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 79 and 95)","That's a Spiky Skellobit. It's made entirely of bones. They are Skellobit leaders... Max HP is 10, Attack is 2, Defense is 2. It has spikes, so don't jump on it... It's said that only the foulest Skellobits are promoted to Spiky Skellobit..."
Skellobomber,10,2,2,600,"Overthere Stair (7-3), The Overthere (7-4), Castle Bleck Interior (8-3), Castle Bleck Inner Sanctum (8-4)","That's a Skellobomber. It's much like a Skellobit, but it has wings... Max HP is 10, Attack is 2, Defense is 2. It might throw its head at you... It also carries Skellobait... Some say Skellobombers were bad Nimbis sent to The Underwhere..."
Skellobait,5,2,1,500,"Overthere Stair (7-3), The Overthere (7-4), Castle Bleck Interior (8-3)","That's a Skellobait. These little creatures depend on Skellobombers... Max HP is 5, Attack is 2, Defense is 1. It has very chilly breath... One whiff, and you'll be frozen solid... They use the ancient magic of The Underwhere and The Overthere for evil..."
Spiky Skellobait,5,2,1,500,"Overthere Stair (7-3), The Overthere (7-4), Castle Bleck Interior (8-3)","That's a Spiky Skellobait. These little creatures depend on Skellobombers... Max HP is 5, Attack is 2, Defense is 1. They also have spikes. If you get hit by their chilly breath, you'll be frozen solid... They use the ancient magic of The Underwhere and The Overthere for evil..."
Boomerang Bro,20,3,1,800,"The Overthere (7-4), Castle Bleck Entry (8-1), Castle Bleck Interior (8-3), Flipside Pit of 100 Trials (Rooms 63 and 96)","This is a Boomerang Bro. These Koopas love to throw their boomerangs... Max HP is 10. Attack is 3. Defense is 1. A tough foe indeed... The boomerangs fly back, so watch the back of your head..."
Bonechill,80,4,0,7000,The Overthere (7-4),"That's Bonechill. This frigid boss escaped from his prison in The Underwhere...Max HP is 80. Attack is 4. Bonechill will only be hurt by attacks to his head...To hit his head you'll need Luigi's super jump, or Thoreau to toss icicles...Bonechill's icy breath can freeze you into a soild herocicle...I don't know why, but I get the feeling he's related to Grambi and the Nimbis...I wonder if he was once a..."
Koopatrol,15,3,4,800,"Castle Bleck Entry (8-1), Castle Bleck Interior (8-3), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 19 and 86)","That's a Koopatrol, a merciless minion wrapped in spikes and armor... Max HP is 15, Attack is 3, and Defense is 4. You better not try to stomp on it... Koopatrols tend to rush in and tackle, so watch out... Only the toughest Koopas are selected to join the elite Koopatrol guard... They have to sharpen those spikes every day. That's what it takes to be the best..."
Blue Magiblot,25,4,0,1000,"Castle Bleck Entry (8-1), Castle Bleck Foyer (8-2), Castle Bleck Interior (8-3), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 77 and 99)","That's a Blue Magiblot. These mad mages live in the space between dimensions... Max HP is 25 and Attack is 4. They only appear long enough to hurl spells at you... They use magic, so I assume they are quite intelligent, but nobody knows for sure... Blue Magiblots are known for their high HP..."
Red I,??,4,??,2000,"Castle Bleck Entry (8-1), Castle Bleck Foyer (8-2), Castle Bleck Inner Sanctum (8-4)",This is a Red I. They glare at anyone that walks by... Max HP is ??. Attack is 4. It will shoot sharp glances at any enemy it spots... None of your attacks will work... Try flipping and running around and around it...
Soopa Striker,16,5,1,800,"Castle Bleck Entry (8-1), Castle Bleck Interior (8-3), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Room 69)",This is a Soopa Striker. These superstars of the pitch have cleats of solid gold... Max HP is 16. Attack is 5. Defense is 1. The way this athlete puts the shell right in your neck is truly inspiring... I hear Soopa Strikers never miss their goal...
Fire Bro,10,3,1,800,"Castle Bleck Entry (8-1), Castle Bleck Foyer (8-2), Flipside Pit of 100 Trials (Rooms 39, 94 and 96)","It's a Fire Bro. These lethal Koopas spit searing balls of flame... Max HP is 10. Attack is 3. Defense is 1. Learning to shoot fire from your mouth must have taken some practice... Those fireballs bounce on the ground, so watch it very carefully..."
Gawbus,20,4,0,800,"Castle Bleck Entry (8-1), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Room 91)","This is a Gawbus, a beast that's even meaner than a Rawbus... Max HP is 20 and Attack is 4. Its only weakness is the glowing spot on its back... By now, you should know you can flip to 3-D and get behind it..."
O'Chunks (4),100,4,0,8000,Castle Bleck Entry (8-1),"That’s O’Chunks. He’s even bigger and stronger now... How is that even possible? Max HP is 100 and Attack is 4. He can now perform aerial attacks... When you see him in the air, take evasive action... Just keep moving to avoid him. Well, Bowser, now is your chance to settle it with O’Chunks..."
Red Magiblot,15,6,0,1000,"Castle Bleck Foyer (8-2), Castle Bleck Interior (8-3), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 82 and 99)","That's a Red Magiblot. These mad mages live in the space between dimensions... Max HP is 15 and Attack is 6. They only appear long enough to hurl spells at you... They use magic, so I assume they are quite intelligent, but nobody knows for sure... Red Magiblots are known for their powerful attack spells..."
Zoing-Oing,12,3,0,400,"Castle Bleck Foyer (8-2), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Room 57)","It's a Zoing-Oing... They're very rare creatures only a few adventurers have seen... Max HP is 12 and Attack is 3. If you hurt it, it will split into multiple Mini-Zoings... Zoing-Oings are very similar to other Oings... Except for their lovely pale hides..."
Mini-Zoing,3,1,0,400,"Castle Bleck Foyer (8-2), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Room 57)","It's a Zoing-Oing... They're very rare creatures only a few adventurers have seen... Max HP is 3 and Attack is 1. If you hurt it, it will split into multiple Mini-Zoings... Zoing-Oings are very similar to other Oings... Except for their lovely pale hides..."
Blastboxer,16,6,0,800,"Castle Bleck Foyer (8-2), Flipside Pit of 100 Trials (Room 76)",This Blastboxer blares sound at anyone it doesn't like... Max HP is 16 and Attack is 6. It gets startled by its own loud noises... I wonder if its neighbors ever complain about the noise...
Chromeba,10,3,0,400,"Castle Bleck Foyer (8-2), Flipside Pit of 100 Trials (Rooms 78 and 87)","That’s a Chromeba. It clones itself constantly to overwhelm its enemies... Max HP is 10 and Attack is 3. If you defeat the main one, the clones will die... The primary one has slightly different moves and looks, so watch closely... For fun, you can let it clone and then stomp on the main one to destroy them all..."
Mimi (3),?? (6 hits),4,??,8000,Castle Bleck Foyer (8-2),"That’s Mimi, of course. She seems really set on winning this time... Max HP is ?? and Attack is 4. She has the same moves she had last time. She seems to be faster now. She can also rain down Rubees for a nasty attack... Better use your parasol for protection when that happens... Let’s pay her back for all the times she tricked us..."
Hogarithm,?? (3 hits),4,0,800,"Castle Bleck Interior (8-3), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Room 81)","This bizarre beast is called a Hogarithm. They are strange on so many levels... Max HP is ??. Attack is 4. It takes three stomps to finish off this piggy... But each stomp makes it smaller and faster... It's very hard to stomp the last one... Hogarithms often drop many coins, so you may want to hunt them if you're broke..."
Sobarribad,8,4,0,1000,Castle Bleck Interior (8-3),"That’s a Sobarribad. It shields itself with a strong barrier... Max HP is 8 and Attack is 4. It also shoots rings of energy from its mouth... You can’t break its barrier, but you can flip to get places it might not want you to..."
Longadile,20,2,0,800,"Castle Bleck Interior (8-3), Flipside Pit of 100 Trials (Room 67)","That thing is a Longadile. It can stretch beyond the limits of imagination... Max HP is 20 and Attack is 2. It likes to stretch its neck at enemies... They aren't fast, but they can attack a wide area. Be careful near narrow ledges..."
Yellow Magiblot,20,5,0,1000,"Castle Bleck Interior (8-3), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 59 and 99)","That's a Yellow Magiblot. They are mad mages that live between dimensions... Max HP is 20 and Attack is 5. They only appear long enough to hurl spells at you... They use magic, so I assume they are quite intelligent, but nobody knows for sure... Yellow Magiblots are known for their average HP and Attack..."
Red Chomp,8,3,8,2000,"Castle Bleck Interior (8-3), Flipside Pit of 100 Trials (Room 98)","That's a Red Chomp. This angry Chomp is filled with uncontrollable rage... Max HP is 8, Attack is 3, Defense is 8. Even flames won't hurt this beast... Some say this Chomp's red color comes from its urge to devour pizza sauce... Maybe someone let it loose in a sauce warehouse..."
Dimentio (copy) (2),??,1,??,0,Castle Bleck Interior (8-3),"That's Dimentio... A magician who works for Count Bleck... He's like an evil clown... He'll use many magic tricks, including making doubles of himself... It's hard to get a read on this suspicious character..."
Dimentio (2),80,4,0,8000,Castle Bleck Interior (8-3),"That's Dimentio. He's a weird dimensional magician who works for Count Bleck... Max HP is 80 and Attack is 4. Dimentio can flip between dimensions... He can also clone himself. Attacking his double won't do anything to him... Hit the real one, and the double will disappear. Then, he can't clone again for a while..."
Poison Pokey,12,2,0,800,"Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Room 85)","That's a Poison Pokey. It's much like a regular Pokey, but it has poisonous spines... Max HP is 12 and Attack is 2. Watch your step... Being poisoned isn't pleasant... If you do get poisoned, most items that restore HP also cure poison..."
Copta,10,3,0,800,"Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 74 & 87)","That's a Copta, a curious organism that flies through the air...and dimensions... Max HP is 10 and Attack is 3. It's hard to track, as it occasionally flips... Just stay after it, and hit it repeatedly when you can..."
Mega Muth,200,8,0,2000,Castle Bleck Inner Sanctum (8-4),"That enormous white beast is a legendary Mega Muth... Max HP is 200 and Attack is 8. They can trample nearly anything... It has a huge amount of HP, so it will be very hard to take down... They are gods among Muths..."
Pink Fuzzy,10,2,0,800,"Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Room 83)",This bouncing ball of fur is called a Pink Fuzzy. It lives to endlessly bounce around... Max HP is 10 and Attack is 2. I wonder if it thinks about the color pink all day... You better keep your distance and use ranged attacks to defeat it...
Count Bleck,150,8,0,8000,Castle Bleck Inner Sanctum (8-4),"That's Count Bleck... This dark figure wants to destroy the universe. He was once Blumiere, a man that I loved... Max HP is 150, Attack is 8. He will use all the powers the Chaos Heart grants him. But you can beat him if you give it your all... And beat him you must... For the sake of all worlds... And to save the Blumiere I loved..."
Super Dimentio,200,6,"0 (head), 4 (body)",9990,Castle Bleck Inner Sanctum (8-4),"That’s Super Dimentio, a freakish blend of Dimentio, the Chaos Heart, and Luigi... That monstrous body has immense power... Max HP is 200. Attack is 6. Concentrate attacks to the head. You’ll have to climb those platforms to reach the head to attack. This is truly the final battle... Winning is the only option..."
Ninjohn,8,3,0,600,"Sammer's Proving Grounds (6-3) (Sammer Guys 56, 63, 66, 69, and 71), Sammer's Endgame (6-4) (Sammer Guys 76, 81, 89, 93, and 94), Flipside Pit of 100 Trials (Rooms 88 and 92)",That's a Ninjohn. These devious ninjas support Sammer Guys from the shadows... Max HP is 8 and Attack is 3. They hop around and throw ninja stars at you. They are said to follow any order... Ninjohns are the middle managers of the ninja world...
Ninjerry,10,4,0,700,"Sammer's Proving Grounds (6-3) (Sammer Guy 75), Sammer's Endgame (6-4) (Sammer Guys 96, 97, 98, and 99), Flipside Pit of 100 Trials (Rooms 92 and 93)",That's a Ninjerry. These devious ninjas support Sammer Guys from the shadows... Max HP is 10 and Attack is 4. They hop around and throw ninja stars at you. They also have secret ninja techniques to use against their enemies... They hold the highest positions in the ninja world...
Squoinker,15,4,0,800,"Flipside Pit of 100 Trials (Rooms 68, 82 and 94)","This is a Squoinker... It’s the strongest and meanest member of the Squig family... Max HP is 15 and Attack is 4. Squoinkers will spit rocks at you... The rocks come at you fast... Don’t just stand there, or you’ll get hit in the face..."
Headbonk Goomba,1,2,0,200,Flipside Pit of 100 Trials (Room 89),"It's a Headbonk Goomba. These guys really know how to use their heads... Max HP is 1 and Attack is 2. They're outcasts among Goombas... The other Goombas look on these Goombas as brainless, uncultured thugs... But I've never wanted to get close enough to have a conversation with one..."
Wracktail,?? (30 hits),10,0,9990,Flipside Pit of 100 Trials (Room 100),"That's Wracktail, the very menacing lord of the Flipside Pit of 100 Trials. Max HP is ??. Attack is 10. It can fly and swoop down with its big open mouth... I think this is a prototype of an improved Fracktail from the Yold Desert... The Ancients must have built it. But like Fracktail, its antenna is its weak spot..."
Wrackle,10,10,0,0,Flipside Pit of 100 Trials (Room 100),"That's a Wrackle. These little defense bots protect Wracktail's body... Max HP is 10. Attack is 10. They will attack any intruder they find on their master... They must've been made by the Ancients, just like Wracktail..."
Dark Goomba,10,2,0,200,"Flopside Pit of 100 Trials (Rooms 1, 2, 3, 8, 15, 19, 29, 46, and 47)",That’s a Dark Goomba. They live in the Flopside Pit of 100 Trials... Max HP is 10. Attack is 2. They are very similar to Goombas... Except that they are black and somewhat small. Just watch carefully and strike...
Dark Koopa,10,2,3,200,"Flopside Pit of 100 Trials (Rooms 2, 5, 9 and 72)","That's a Dark Koopa. It lurks in the Flopside Pit of 100 Trials... Max HP is 10. Attack is 2. Defense is 3. Otherwise, it's much like a regular Koopa... Why is it wearing shades underground...?"
Dark Paragoomba,10,2,0,200,"Flopside Pit of 100 Trials (Rooms 3, 4, 14, 24, and 47)",That’s a Dark Paragoomba. They live in the Flopside Pit of 100 Trials... Max HP is 10. Attack is 2. Stomp it to turn it into a regular Dark Goomba... Then you can smoosh it at your leisure...
Dark Tech Cursya,10,2,0,800,"Flopside Pit of 100 Trials (Rooms 3, 16, 44, 56, 67 and 91)","That's a Dark Tech Cursya. They live in the Flopside Pit of 100 Trials... Max HP is 10. Attack is 2. Touch it, and you can't use techniques for a while... You can't tell what kind of Cursya these Dark Cursyas are by looking, so ask me..."
Dark Spiked Goomba,10,4,0,200,"Flopside Pit of 100 Trials (Rooms 5, 18, and 48)","That’s a Dark Spiked Goomba. They live in the Flopside Pit of 100 Trials... Max HP is 10. Attack is 4. Don’t stomp it or those black spikes will hurt you... But it’s slow, so you can use Boomer, Cudge, or Bowser’s fire..."
Dark Squiglet,20,8,0,1000,"Flopside Pit of 100 Trials (Rooms 6, 7, 11, 27, 32, 35, 49, 54, 55, 87 and 92)","It's a Dark Squiglet. They live in the Flopside Pit of 100 Trials... Max HP is 20. Attack is 8. It hops when it sees an enemy, then spits rocks... It spits quickly, so jump as soon as you see it hop. Some people think that little hop is quite cute..."
Dark Cherbil,15,4,0,400,"Flopside Pit of 100 Trials (Rooms 6, 38, 69, 82 and 94)","That's a Dark Cherbil. This nasty gasbag spews a plume of gas at its enemies... Max HP is 15. Attack is 4. It uses sleepy gas, freezy gas, and poison gas... Some say the gas comes from their mouths. Some say it comes from elsewhere... But it's so dark and shadowy, nobody can tell where it comes from..."
Dark Spiny,10,4,6,600,"Flopside Pit of 100 Trials (Rooms 7, 8 and 16)","That's a Dark Spiny. They live in the Flopside Pit of 100 Trials... Max HP is 10. Attack is 4. Defense is 6. You can't stomp it, so don't bother... Try using Boomer, Cudge, or Bowser's flaming breath..."
Dark Cursya,10,2,0,800,"Flopside Pit of 100 Trials (Rooms 8, 36, 42, 58, 81 and 91)","It’s a Dark Cursya. They live in the Flopside Pit of 100 Trials... Max HP is 10. Attack is 2. If you touch it, you’ll slow to a crawl... You can’t tell what kind of Cursya these Dark Cursyas are by looking, so ask me..."
Dark Spike Top,10,4,6,600,Flopside Pit of 100 Trials (Rooms 9 and 17),That’s a Dark Spike Top. They live in the Flopside Pit of 100 Trials... Max HP is 10. Attack is 4. Defense is 6. You can’t hurt it with flames... A hard shell AND a spike... This won’t be easy. I suggest using an item or throwing something at it.
Dark Fuzzy,15,4,0,1000,"Flopside Pit of 100 Trials (Rooms 11, 21, and 23)","It’s a Dark Fuzzy. They live in the Flopside Pit of 100 Trials... Max HP is 15. Attack is 4. They are like other Fuzzies. They bounce around quite randomly, so watch out when you get close to them..."
Dark Stone Buzzy,3,4,??,800,"Flopside Pit of 100 Trials (Rooms 12, 17 and 28)","That’s a Dark Stone Buzzy. They live in the Flopside Pit of 100 Trials... Max HP is 3. Attack is 4. Defense is ??. You can’t hurt it with flames. I hear you can break its shell if you hit it enough times... But its bones are dark too, according to rumors..."
Dark Cleft,10,4,10,1000,"Flopside Pit of 100 Trials (Rooms 13, 14 and 25)","It’s a Dark Cleft. They lurk in the Flopside Pit of 100 Trials... Max HP is 10. Attack is 4. Defense is 10. Flames won’t hurt it at all… They usually sit still, but they will charge at anyone that approaches... Flip them over with a bomb to reduce their Defense to 0..."
Dark Paratroopa,10,2,3,200,Flopside Pit of 100 Trials (Room 13),That's a Dark Paratroopa. They live in the Flopside Pit of 100 Trials... Max HP is 10. Attack is 2. Defense is 3. Stomp it like a regular Koopa Paratroopa to drop it to the ground... I wonder if it ever gets its wings back after that...
Dark Heavy Cursya,10,2,0,800,"Flopside Pit of 100 Trials (Rooms 13, 27, 42, 63 and 91)","It’s a Dark Heavy Cursya. They live in the Flopside Pit of 100 Trials... Max HP is 10. Attack is 2. Touch it, and you will have a hard time jumping... You can’t tell what kind of Cursya these Dark Cursyas are by looking, so ask me..."
Dark Spania,20,2,0,1000,"Flopside Pit of 100 Trials (Rooms 15, 22, 28, and 55)","It’s a Dark Spania. They live in the Flopside Pit of 100 Trials... Max HP is 20. Attack is 2. They spin straight at any enemy they see. It can flip dimensions, so you will have to be at the top of your game..."
Dark Dull Bones,20,8,0,1000,"Flopside Pit of 100 Trials (Rooms 16, 19 and 24)",That’s a Dark Dull Bones... They live in the Flopside Pit of 100 Trials... Max HP is 20. Attack is 8. They are very similar to your average Dull Bones... It will keep getting up no matter how many times you stomp on it... But fire will finish it off for good...
Dark Pokey,20,4,0,1000,"Flopside Pit of 100 Trials (Rooms 21, 24 and 33)","It’s a Dark Pokey. They live in the Flopside Pit of 100 Trials... Max HP is 20. Attack is 4. Their spikes prevent you from stomping or throwing them... Is it an animal or a plant? Either way, it throws pieces of itself at you… Try using Boomer, Cudge, or Bowser’s breath..."
Dark Reversya Cursya,20,4,0,1000,"Flopside Pit of 100 Trials (Rooms 21, 35, 44, 86 and 91)","It’s a Dark Reversya Cursya. They live in the Flopside Pit of 100 Trials... Max HP is 10. Attack is 2. Touch it, and your controls will be reversed for a while... You can’t tell what kind of Cursya these Dark Cursyas are by looking, so ask me..."
